,title_clean,profit_class,revenues_clean,gross_profit,return,costs_clean,release_date,release_week,length_clean,main_topic,site,number_topic
112,Mission: Impossible,1.0,457700000.0,148850000.0,1.860625,80000000.0,1996-05-22,21.0,110.0,lda_topic_465,https://en.wikipedia.org/wiki/Mission:_Impossible_(film),44
113,My Dog Skip,1.0,35547761.0,13273880.5,2.94975122222,4500000.0,2000-03-03,9.0,95,lda_topic_17,https://en.wikipedia.org/wiki/My_Dog_Skip_(film),7
114,The Next Best Thing,0.0,24362772.0,-12818614.0,-0.51274456,25000000.0,2000-03-03,9.0,108,lda_topic_497,https://en.wikipedia.org/wiki/The_Next_Best_Thing,50
115,Next Friday,1.0,59800000.0,18900000.0,1.71818181818,11000000.0,2000-01-12,2.0,98,lda_topic_290,https://en.wikipedia.org/wiki/Next_Friday,16
117,Friday,1.0,27500000.0,10250000.0,2.92857142857,3500000.0,1995-04-26,17.0,919.0,lda_topic_68,https://en.wikipedia.org/wiki/Friday_(1995_film),53
118,Nutty Professor II: The Klumps,0.0,166300000.0,-850000.0,-0.010119047619,84000000.0,2000-07-28,30.0,106.0,lda_topic_5,https://en.wikipedia.org/wiki/Nutty_Professor_II:_The_Klumps,51
119,The Nutty Professor,1.0,274000000.0,83000000.0,1.53703703704,54000000.0,1996-06-28,26.0,951,lda_topic_497,https://en.wikipedia.org/wiki/The_Nutty_Professor_(1996_film),50
120,Nurse Betty,0.0,29400000.0,-20300000.0,-0.58,35000000.0,2000-09-08,36.0,105,lda_topic_88,https://en.wikipedia.org/wiki/Nurse_Betty,58
121,"O Brother, Where Art Thou?",1.0,71900000.0,9950000.0,0.382692307692,26000000.0,2000-10-19,42.0,107,lda_topic_340,"https://en.wikipedia.org/wiki/O_Brother,_Where_Art_Thou%3F",24
122,The Opportunists,,584054.0,,,,2000-08-11,32.0,90,lda_topic_186,https://en.wikipedia.org/wiki/The_Opportunists,9
