,name,title_clean,revenues_clean,gross_profit,costs_clean
1469,Stanley Tucci,Lucky Number Slevin,56300000.0,1150000.0,27000000.0
1926,Stanley Tucci,Kit Kittredge: An American Girl,17657973.0,-1171013.5,10000000.0
2000,Stanley Tucci,Space Chimps,64800000.0,-4600000.0,37000000.0
2013,Stanley Tucci,Swing Vote,17600000.0,-12200000.0,21000000.0
2034,Stanley Tucci,What Just Happened,6710888.0,-21644556.0,25000000.0
2163,Stanley Tucci,Julie & Julia,129500000.0,24750000.0,40000000.0
2175,Stanley Tucci,The Lovely Bones,93600000.0,-18200000.0,65000000.0
2294,Stanley Tucci,Burlesque,89700000.0,-10150000.0,55000000.0
2537,Stanley Tucci,Captain America: The First Avenger,370600000.0,45300000.0,140000000.0
2629,Stanley Tucci,Margin Call,19500000.0,6250000.0,3500000.0
2825,Stanley Tucci,The Hunger Games,694400000.0,269200000.0,78000000.0
3017,Stanley Tucci,The Fifth Estate,8600000.0,-23700000.0,28000000.0
3055,Stanley Tucci,The Hunger Games: Catching Fire,865000000.0,302500000.0,130000000.0
3072,Stanley Tucci,Jack the Giant Slayer,197700000.0,-86150000.0,185000000.0
3131,Stanley Tucci,Percy Jackson: Sea of Monsters,202247751.0,11123875.5,90000000.0
3285,Stanley Tucci,Transformers: Age of Extinction,1104000000.0,342000000.0,210000000.0
3388,Stanley Tucci,Wild Card,6700000.0,-26650000.0,30000000.0
2400,Michael Bolten,Letters to God,2908893.0,-1545553.5,3000000.0
1863,Andrew Caldwell,College,6265483.0,-3867258.5,7000000.0
1043,Kevin Chamberlin,Suspect Zero,11416075.0,-21291962.5,27000000.0
171,Sean Gunn,The Specials,13276.0,-993362.0,1000000.0
2689,Sean Gunn,Super,422618.0,-2288691.0,2500000.0
3447,Katey Sagal,Pitch Perfect 2,287500000.0,114750000.0,29000000.0
1148,Nelson Vargas,The Game of Their Lives,388998.0,-12805501.0,13000000.0
433,Troy Garity,Barbershop,77063924.0,26531962.0,12000000.0
863,Troy Garity,Barbershop 2: Back in Business,66000000.0,3000000.0,30000000.0
1804,Troy Garity,Sunshine,32000000.0,-24000000.0,40000000.0
47,Omar Epps,Dracula 2000,47100000.0,-30450000.0,54000000.0
97,Omar Epps,Love & Basketball,27728118.0,-6135941.0,20000000.0
438,Omar Epps,Big Trouble,8500000.0,-35750000.0,40000000.0
844,Omar Epps,Against the Ropes,6614280.0,-35692860.0,39000000.0
605,Mary Kay Place,Sweet Home Alabama,180600000.0,60300000.0,30000000.0
1208,Mary Kay Place,Lonesome Jim,174815.0,-412592.5,500000.0
1237,Mary Kay Place,Nine Lives,1562923.0,281461.5,500000.0
1860,Mary Kay Place,City of Ember,17900000.0,-46050000.0,55000000.0
2504,Mary Kay Place,Youth in Revolt,19651093.0,-8174453.5,18000000.0
2902,Mary Kay Place,Smashed,499725.0,-250137.5,500000.0
299,Alessandro Nivola,Jurassic Park III,368800000.0,91400000.0,93000000.0
1150,Alessandro Nivola,Goal! The Dream Begins,27600000.0,-19200000.0,33000000.0
1190,Alessandro Nivola,Junebug,3400000.0,700000.0,1000000.0
1885,Alessandro Nivola,The Eye,56964642.0,16482321.0,12000000.0
3260,Alessandro Nivola,Devil's Knot,2000000.0,-14000000.0,15000000.0
