,title_clean,site,revenues_clean,costs_clean,gross_profit,return,profit_class,release_date
358,Pootie Tang,https://en.wikipedia.org/wiki/Pootie_Tang,3300000.0,7000000.0,-5350000.0,-0.764285714286,0.0,2001-06-29
359,The Princess Diaries,https://en.wikipedia.org/wiki/The_Princess_Diaries_(film),165300000.0,26000000.0,56650000.0,2.17884615385,1.0,2001-08-03
361,Rat Race,https://en.wikipedia.org/wiki/Rat_Race_(film),85500000.0,48000000.0,-5250000.0,-0.109375,0.0,2001-08-17
362,"It's a Mad, Mad, Mad, Mad World","https://en.wikipedia.org/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",60000000.0,9400000.0,20600000.0,2.1914893617,1.0,1963-11-07
363,Recess: School's Out,https://en.wikipedia.org/wiki/Recess:_School%27s_Out,44400000.0,23000000.0,-800000.0,-0.0347826086957,0.0,2001-02-16
364,Riding in Cars with Boys,https://en.wikipedia.org/wiki/Riding_in_Cars_with_Boys,35700000.0,48000000.0,-30150000.0,-0.628125,0.0,2001-10-19
365,Rock Star,https://en.wikipedia.org/wiki/Rock_Star_(2001_film),19300000.0,38000000.0,-28350000.0,-0.746052631579,0.0,2001-09-07
366,The Royal Tenenbaums,https://en.wikipedia.org/wiki/The_Royal_Tenenbaums,71400000.0,21000000.0,14700000.0,0.7,1.0,2002-01-04
367,Rush Hour 2,https://en.wikipedia.org/wiki/Rush_Hour_2,347300000.0,90000000.0,83650000.0,0.929444444444,1.0,2001-08-03
369,Rush Hour,https://en.wikipedia.org/wiki/Rush_Hour_(1998_film),244400000.0,33000000.0,89200000.0,2.70303030303,1.0,1998-09-18
372,Saving Silverman,https://en.wikipedia.org/wiki/Saving_Silverman,26086706.0,22000000.0,-8956647.0,-0.407120318182,0.0,2001-02-09
373,Say It Isn't So,https://en.wikipedia.org/wiki/Say_It_Isn%27t_So_(film),12300000.0,25000000.0,-18850000.0,-0.754,0.0,2001-03-23
374,Scary Movie 2,https://en.wikipedia.org/wiki/Scary_Movie_2,141200000.0,45000000.0,25600000.0,0.568888888889,1.0,2001-07-04
377,See Spot Run,https://en.wikipedia.org/wiki/See_Spot_Run,43057522.0,16000000.0,5528761.0,0.3455475625,1.0,2001-03-02
378,Serendipity,https://en.wikipedia.org/wiki/Serendipity_(film),77516304.0,28000000.0,10758152.0,0.384219714286,1.0,2001-10-05
380,Shallow Hal,https://en.wikipedia.org/wiki/Shallow_Hal,141100000.0,40000000.0,30550000.0,0.76375,1.0,2001-11-09
381,The Shipping News,https://en.wikipedia.org/wiki/The_Shipping_News_(film),24690441.0,38000000.0,-25654779.5,-0.675125776316,0.0,2001-12-18
382,Shrek,https://en.wikipedia.org/wiki/Shrek,484400000.0,60000000.0,182200000.0,3.03666666667,1.0,2001-05-18
384,Sidewalks of New York,https://en.wikipedia.org/wiki/Sidewalks_of_New_York_(2001_film),3500000.0,1000000.0,750000.0,0.75,1.0,2001-11-21
385,Someone like You,https://en.wikipedia.org/wiki/Someone_Like_You_(film),38689940.0,23000000.0,-3655030.0,-0.158914347826,0.0,2001-03-30
386,Soul Survivors,https://en.wikipedia.org/wiki/Soul_Survivors,4299141.0,17000000.0,-14850429.5,-0.873554676471,0.0,2001-09-07
387,Spy Game,https://en.wikipedia.org/wiki/Spy_Game,143000000.0,115000000.0,-43500000.0,-0.378260869565,0.0,2001-11-21
388,Spy Kids,https://en.wikipedia.org/wiki/Spy_Kids,147900000.0,35000000.0,38950000.0,1.11285714286,1.0,2001-03-30
390,Sugar & Spice,https://en.wikipedia.org/wiki/Sugar_%26_Spice,16908947.0,27000000.0,-18545526.5,-0.686871351852,0.0,2001-01-26
391,Summer Catch,https://en.wikipedia.org/wiki/Summer_Catch,19700000.0,34000000.0,-24150000.0,-0.710294117647,0.0,2001-08-24
392,Super Troopers,https://en.wikipedia.org/wiki/Super_Troopers,23100000.0,1200000.0,10350000.0,8.625,1.0,2002-02-15
393,Sweet November,https://en.wikipedia.org/wiki/Sweet_November_(2001_film),65754228.0,40000000.0,-7122886.0,-0.17807215,0.0,2001-02-16
395,Swordfish,https://en.wikipedia.org/wiki/Swordfish_(film),147000000.0,102000000.0,-28500000.0,-0.279411764706,0.0,2001-06-08
396,Tape,https://en.wikipedia.org/wiki/Tape_(film),515900.0,100000.0,157950.0,1.5795,1.0,2001-11-02
397,Thirteen Ghosts,https://en.wikipedia.org/wiki/Thirteen_Ghosts,68467960.0,42000000.0,-7766020.0,-0.184905238095,0.0,2001-10-26
399,Tomcats,https://en.wikipedia.org/wiki/Tomcats_(2001_film),23400000.0,11000000.0,700000.0,0.0636363636364,1.0,2001-03-30
402,Town & Country,https://en.wikipedia.org/wiki/Town_%26_Country_(film),10400000.0,90000000.0,-84800000.0,-0.942222222222,0.0,2001-04-27
403,Training Day,https://en.wikipedia.org/wiki/Training_Day,104500000.0,45000000.0,7250000.0,0.161111111111,1.0,2001-10-05
404,Two Can Play That Game,https://en.wikipedia.org/wiki/Two_Can_Play_That_Game,22391450.0,13000000.0,-1804275.0,-0.138790384615,0.0,2001-09-07
405,Valentine,https://en.wikipedia.org/wiki/Valentine_(film),36700000.0,10000000.0,8350000.0,0.835,1.0,2001-02-02
406,Vanilla Sky,https://en.wikipedia.org/wiki/Vanilla_Sky,203400000.0,68000000.0,33700000.0,0.495588235294,1.0,2001-12-14
